RNDF_name	rndf_280S-20070227.txt
num_segments	1
num_zones	0
format_version	1.0
creation_date	2/27/2007
segment	1
num_lanes	13
lane	1.1
num_waypoints	267
lane_width	12.0000
left_boundary	solid_white
right_boundary	broken_white
1.3.61	37.4120638	-122.2043275
1.3.62	37.4119951	-122.2041135
1.3.63	37.4119266	-122.2038993
1.3.64	37.4118576	-122.2036838
1.3.65	37.4117891	-122.2034700
1.3.66	37.4117208	-122.2032561
1.3.67	37.4116520	-122.2030408
1.3.68	37.4115839	-122.2028270
1.3.69	37.4115151	-122.2026098
1.3.70	37.4114470	-122.2023975
1.3.71	37.4113787	-122.2021834
1.3.72	37.4113093	-122.2019659
1.3.73	37.4112415	-122.2017529
1.3.74	37.4111728	-122.2015384
1.3.75	37.4111031	-122.2013205
1.3.76	37.4110349	-122.2011070
1.3.77	37.4109657	-122.2008909
1.3.78	37.4108746	-122.2006151
1.3.79	37.4108049	-122.2003938
1.3.80	37.4107129	-122.2001062
1.3.81	37.4106414	-122.1998838
1.3.82	37.4105710	-122.1996645
1.3.83	37.4105017	-122.1994469
1.3.84	37.4104307	-122.1992245
1.3.85	37.4103835	-122.1990737
1.3.86	37.4103352	-122.1989228
1.3.87	37.4102649	-122.1987023
1.3.88	37.4101957	-122.1984837
1.3.89	37.4101267	-122.1982653
1.3.90	37.4100574	-122.1980457
1.3.91	37.4099899	-122.1978270
1.3.92	37.4099208	-122.1976089
1.3.93	37.4098500	-122.1973901
1.3.94	37.4097803	-122.1971732
1.3.95	37.4097111	-122.1969564
1.3.96	37.4096419	-122.1967383
1.3.97	37.4095732	-122.1965224
1.3.98	37.4095037	-122.1963038
1.3.99	37.4094357	-122.1960907
1.3.100	37.4093674	-122.1958765
1.3.101	37.4092974	-122.1956600
1.3.102	37.4092290	-122.1954489
1.3.103	37.4091606	-122.1952366
1.3.104	37.4090909	-122.1950212
1.3.105	37.4090223	-122.1948114
1.3.106	37.4089521	-122.1946011
1.3.107	37.4088850	-122.1943860
1.3.108	37.4088177	-122.1941765
1.3.109	37.4087508	-122.1939653
