RNDF_name	rndf_280both-20070227.txt
num_segments	1
num_zones	0
format_version	1.0
creation_date	2/27/2007
segment	1
num_lanes	23
lane	1.1
num_waypoints	259
lane_width	12.0000
left_boundary	solid_white
right_boundary	broken_white
1.3.15	37.3922853	-122.1705711
1.3.16	37.3922982	-122.1707959
1.3.17	37.3923119	-122.1710204
1.3.18	37.3923270	-122.1712517
1.3.19	37.3923450	-122.1714760
1.3.20	37.3923674	-122.1717003
1.3.21	37.3923950	-122.1719311
1.3.22	37.3924267	-122.1721545
1.3.23	37.3924634	-122.1723771
1.3.24	37.3925061	-122.1726053
1.3.25	37.3925528	-122.1728257
1.3.26	37.3926043	-122.1730437
1.3.27	37.3926676	-122.1732847
1.3.28	37.3927298	-122.1734996
1.3.29	37.3927954	-122.1737082
1.3.30	37.3928670	-122.1739162
1.3.31	37.3929425	-122.1741211
1.3.32	37.3930211	-122.1743221
1.3.33	37.3931056	-122.1745236
1.3.34	37.3931930	-122.1747175
1.3.35	37.3932851	-122.1749081
1.3.36	37.3933845	-122.1751007
1.3.37	37.3934844	-122.1752849
1.3.38	37.3935887	-122.1754655
1.3.39	37.3937002	-122.1756476
1.3.40	37.3938118	-122.1758210
1.3.41	37.3939269	-122.1759909
1.3.42	37.3940486	-122.1761620
1.3.43	37.3941705	-122.1763228
1.3.44	37.3942979	-122.1764782
1.3.45	37.3944287	-122.1766316
1.3.46	37.3945591	-122.1767766
1.3.47	37.3946925	-122.1769146
1.3.48	37.3948291	-122.1770557
1.3.49	37.3949653	-122.1771916
1.3.50	37.3951045	-122.1773269
1.3.51	37.3952463	-122.1774655
1.3.52	37.3953858	-122.1776027
1.3.53	37.3955294	-122.1777447
1.3.54	37.3956464	-122.1778599
1.3.55	37.3957898	-122.1780016
1.3.56	37.3959334	-122.1781433
1.3.57	37.3960818	-122.1782888
1.3.58	37.3962279	-122.1784335
1.3.59	37.3963758	-122.1785795
1.3.60	37.3965227	-122.1787246
1.3.61	37.3966693	-122.1788699
1.3.62	37.3968173	-122.1790157
1.3.63	37.3969639	-122.1791607
1.3.64	37.3971106	-122.1793056
1.3.65	37.3972588	-122.1794510
1.3.66	37.3974052	-122.1795960
1.3.67	37.3975512	-122.1797404
1.3.68	37.3976993	-122.1798866
1.3.69	37.3978437	-122.1800296
1.3.70	37.3979889	-122.1801735
1.3.71	37.3981370	-122.1803185
1.3.72	37.3982815	-122.1804608
1.3.73	37.3984273	-122.1806039
1.3.74	37.3985748	-122.1807493
1.3.75	37.3987197	-122.1808916
1.3.76	37.3988658	-122.1810349
1.3.77	37.3990139	-122.1811810
1.3.78	37.3991584	-122.1813243
1.3.79	37.3993065	-122.1814705
1.3.80	37.3994526	-122.1816146
1.3.81	37.3995981	-122.1817573
1.3.82	37.3997469	-122.1819031
1.3.83	37.3998933	-122.1820471
1.3.84	37.4000385	-122.1821902
1.3.85	37.4001871	-122.1823365
1.3.86	37.4003327	-122.1824816
1.3.87	37.4004772	-122.1826257
1.3.88	37.4006245	-122.1827732
1.3.89	37.4007693	-122.1829185
1.3.90	37.4009123	-122.1830630
1.3.91	37.4010582	-122.1832107
1.3.92	37.4012019	-122.1833557
1.3.93	37.4013439	-122.1834991
1.3.94	37.4014884	-122.1836461
1.3.95	37.4016305	-122.1837904
1.3.96	37.4017710	-122.1839332
1.3.97	37.4019141	-122.1840790
1.3.98	37.4020546	-122.1842222
1.3.99	37.4021959	-122.1843660
1.3.100	37.4023579	-122.1845307
1.3.101	37.4024974	-122.1846722
1.3.102	37.4026385	-122.1848152
1.3.103	37.4027760	-122.1849552
1.3.104	37.4029144	-122.1850955
1.3.105	37.4030544	-122.1852376
1.3.106	37.4031908	-122.1853761
1.3.107	37.4033279	-122.1855152
1.3.108	37.4034669	-122.1856560
1.3.109	37.4036025	-122.1857934
1.3.110	37.4037387	-122.1859321
1.3.111	37.4038771	-122.1860727
1.3.112	37.4040122	-122.1862106
1.3.113	37.4041489	-122.1863495
1.3.114	37.4042881	-122.1864905
1.3.115	37.4044245	-122.1866286
1.3.116	37.4045641	-122.1867704
1.3.117	37.4047018	-122.1869105
1.3.118	37.4048387	-122.1870502
1.3.119	37.4049791	-122.1871930
1.3.120	37.4051180	-122.1873339
1.3.121	37.4052560	-122.1874741
1.3.122	37.4053973	-122.1876183
1.3.123	37.4055373	-122.1877600
1.3.124	37.4056760	-122.1879012
1.3.125	37.4058183	-122.1880457
1.3.126	37.4059583	-122.1881893
1.3.127	37.4060968	-122.1883327
1.3.128	37.4062383	-122.1884799
1.3.129	37.4063757	-122.1886272
1.3.130	37.4065087	-122.1887762
1.3.131	37.4066418	-122.1889300
1.3.132	37.4067674	-122.1890860
1.3.133	37.4068888	-122.1892435
1.3.134	37.4069757	-122.1893605
1.3.135	37.4070920	-122.1895230
1.3.136	37.4072068	-122.1896895
1.3.137	37.4073153	-122.1898550
1.3.138	37.4074242	-122.1900200
1.3.139	37.4075287	-122.1901915
1.3.140	37.4076293	-122.1903599
1.3.141	37.4077291	-122.1905333
1.3.142	37.4078199	-122.1907152
1.3.143	37.4079118	-122.1908940
1.3.144	37.4080020	-122.1910757
1.3.145	37.4080859	-122.1912594
1.3.146	37.4081684	-122.1914442
1.3.147	37.4082577	-122.1916561
1.3.148	37.4083323	-122.1918448
1.3.149	37.4084039	-122.1920329
1.3.150	37.4084741	-122.1922259
1.3.151	37.4085401	-122.1924172
1.3.152	37.4086032	-122.1926076
1.3.153	37.4086658	-122.1928025
1.3.154	37.4087277	-122.1929948
1.3.155	37.4087881	-122.1931815
1.3.156	37.4088489	-122.1933731
1.3.157	37.4089084	-122.1935622
1.3.158	37.4089671	-122.1937469
1.3.159	37.4090269	-122.1939327
1.3.160	37.4090868	-122.1941170
1.3.161	37.4091445	-122.1942991
1.3.162	37.4092035	-122.1944825
1.3.163	37.4092613	-122.1946668
1.3.164	37.4093196	-122.1948499
1.3.165	37.4093796	-122.1950373
1.3.166	37.4094396	-122.1952270
1.3.167	37.4095000	-122.1954189
1.3.168	37.4095603	-122.1956100
1.3.169	37.4096227	-122.1958057
1.3.170	37.4096854	-122.1960038
1.3.171	37.4097473	-122.1962003
1.3.172	37.4098107	-122.1963985
1.3.173	37.4098741	-122.1965960
1.3.174	37.4099360	-122.1967909
1.3.175	37.4099988	-122.1969884
1.3.176	37.4100612	-122.1971860
1.3.177	37.4101230	-122.1973806
1.3.178	37.4101864	-122.1975780
1.3.179	37.4102490	-122.1977759
1.3.180	37.4103108	-122.1979709
1.3.181	37.4103735	-122.1981684
1.3.182	37.4104382	-122.1983663
1.3.183	37.4105109	-122.1985927
1.3.184	37.4105849	-122.1988146
1.3.185	37.4106433	-122.1989998
1.3.186	37.4107034	-122.1991895
1.3.187	37.4107672	-122.1993858
1.3.188	37.4108267	-122.1995722
